sample_id,name,city,category,baseline_query,baseline_url,baseline_description,baseline_relevant,baseline_judge_raw,baseline_zero_recall,baseline_hallucination,heuristic_query,heuristic_url,heuristic_description,heuristic_relevant,heuristic_judge_raw,heuristic_zero_recall,heuristic_hallucination
cn-001,故宫,北京,历史文化,故宫,https://images.unsplash.com/photo-1636550230446-7632d97d1e77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlOTUlODUlRTUlQUUlQUJ8ZW58MXwwfHx8MTc3Mzg0NTAyM3ww&ixlib=rb-4.1.0&q=80&w=1080,故宫雪景,True,1,False,False,故宫 北京,https://images.unsplash.com/photo-1620826502427-9e8faa18d3f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxMHx8JUU2JTk1JTg1JUU1JUFFJUFCJTIwJUU1JThDJTk3JUU0JUJBJUFDfGVufDF8MHx8fDE3NzM4NDUwMjd8MA&ixlib=rb-4.1.0&q=80&w=1080,北京故宫博物院,True,1,False,False
cn-002,天坛,北京,历史文化,天坛,https://images.unsplash.com/photo-1584872589930-e99fe5bf4408?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlQTklRTUlOUQlOUJ8ZW58MXwwfHx8MTc3Mzg0NTAzMHww&ixlib=rb-4.1.0&q=80&w=1080,"The Temple of Heaven, Beijing, China.",True,1,False,False,天坛 北京,https://images.unsplash.com/photo-1620033370499-c85e0122f1fc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw3fHwlRTUlQTQlQTklRTUlOUQlOUIlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg0NTAzNHww&ixlib=rb-4.1.0&q=80&w=1080,北京天坛公园,False,0,False,True
cn-003,颐和园,北京,历史文化,颐和园,https://images.unsplash.com/photo-1669382485231-ef86d9fa986f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg4MzM5M3ww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False,颐和园 北京,https://images.unsplash.com/photo-1620822102340-47c32da50fef?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwyfHwlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUQlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg4MzM5NHww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False
cn-004,八达岭长城,北京,历史文化,八达岭长城,,,False,,True,False,Great Wall Beijing China,https://images.unsplash.com/photo-1724076202408-bfa5548a2b1d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw2fHxHcmVhdCUyMFdhbGwlMjBCZWlqaW5nJTIwQ2hpbmF8ZW58MXwwfHx8MTc3Mzg4MzQwOHww&ixlib=rb-4.1.0&q=80&w=1080,"The Great Wall is a must for a China tour, while Badaling is a must for a Great Wall tour. Badaling Great Wall in Beijing is the best-preserved and most complete section among the various, hence the most popular, even among world leaders.",True,1,False,False
cn-005,圆明园,北京,历史文化,圆明园,https://images.unsplash.com/photo-1660531076440-f92c01c325d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlOUMlODYlRTYlOTglOEUlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg5MTM2M3ww&ixlib=rb-4.1.0&q=80&w=1080,a stone structure with columns with Old Summer Palace in the background,True,1,False,False,圆明园 北京,https://images.unsplash.com/photo-1603258485726-75b7c1d7c085?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwyfHwlRTUlOUMlODYlRTYlOTglOEUlRTUlOUIlQUQlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg5MTM2NHww&ixlib=rb-4.1.0&q=80&w=1080,北京圆明园,False,0,False,True
cn-006,恭王府,北京,历史文化,恭王府,https://images.unsplash.com/photo-1612790074468-6e5bcb750683?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlODElQUQlRTclOEUlOEIlRTUlQkElOUN8ZW58MXwwfHx8MTc3Mzg5MTM4Mnww&ixlib=rb-4.1.0&q=80&w=1080,恭王府,False,0,False,True,恭王府 北京,https://images.unsplash.com/photo-1613292936232-8be069f4b285?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw0fHwlRTYlODElQUQlRTclOEUlOEIlRTUlQkElOUMlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg5MTM4M3ww&ixlib=rb-4.1.0&q=80&w=1080,北京恭王府,False,0,False,True
cn-007,景山公园,北京,自然风光,景山公园,https://images.unsplash.com/photo-1628001204260-c5df3cc58f02?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlOTklQUYlRTUlQjElQjElRTUlODUlQUMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg5MTM5OXww&ixlib=rb-4.1.0&q=80&w=1080,brown and white concrete house,True,1,False,False,景山公园 北京,https://images.unsplash.com/photo-1630665529944-205c81c03f59?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw0fHwlRTYlOTklQUYlRTUlQjElQjElRTUlODUlQUMlRTUlOUIlQUQlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg0MTQ2MXww&ixlib=rb-4.1.0&q=80&w=1080,北京景山公园,True,1,False,False
cn-008,北海公园,北京,自然风光,北海公园,https://images.unsplash.com/photo-1670908026890-ef7f34a824d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlOEMlOTclRTYlQjUlQjclRTUlODUlQUMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg5MTQ0Nnww&ixlib=rb-4.1.0&q=80&w=1080,北京北海公园,False,0,False,True,北海公园 北京,https://images.unsplash.com/photo-1670908026890-ef7f34a824d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlOEMlOTclRTYlQjUlQjclRTUlODUlQUMlRTUlOUIlQUQlMjAlRTUlOEMlOTclRTQlQkElQUN8ZW58MXwwfHx8MTc3Mzg5MTQ0N3ww&ixlib=rb-4.1.0&q=80&w=1080,北京北海公园,False,0,False,True
cn-009,雍和宫,北京,历史文化,雍和宫,https://images.unsplash.com/photo-1623687020286-86a8b83634d2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklOUIlOEQlRTUlOTIlOEMlRTUlQUUlQUJ8ZW58MXwwfHx8MTc3Mzg5MTQ2NXww&ixlib=rb-4.1.0&q=80&w=1080,gray concrete building under white sky during daytime,False,0,False,True,Lama Temple Beijing China,https://images.unsplash.com/photo-1624653026201-3b1f45742576?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwzfHxMYW1hJTIwVGVtcGxlJTIwQmVpamluZyUyMENoaW5hfGVufDF8MHx8fDE3NzM4OTE0NzF8MA&ixlib=rb-4.1.0&q=80&w=1080,"Beihai Park Lama Temple in Beijing, China",False,0,False,True
cn-010,国家博物馆,北京,历史文化,国家博物馆,,,False,,True,False,National Museum of China,https://images.unsplash.com/photo-1701847895783-979e086dae5e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHxOYXRpb25hbCUyME11c2V1bSUyMG9mJTIwQ2hpbmF8ZW58MXwwfHx8MTc3Mzg5MTQ5Mnww&ixlib=rb-4.1.0&q=80&w=1080,a group of people standing in front of a building,False,0,False,True
