sample_id,name,city,category,baseline_query,baseline_url,baseline_description,baseline_relevant,baseline_judge_raw,baseline_zero_recall,baseline_hallucination,heuristic_query,heuristic_url,heuristic_description,heuristic_relevant,heuristic_judge_raw,heuristic_zero_recall,heuristic_hallucination
cn25-001,故宫,北京,历史文化,故宫,https://images.unsplash.com/photo-1636550230446-7632d97d1e77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTYlOTUlODUlRTUlQUUlQUJ8ZW58MXwwfHx8MTc3Mzg0NTAyM3ww&ixlib=rb-4.1.0&q=80&w=1080,故宫雪景,True,1,False,False,Forbidden City 故宫 北京 Beijing China,https://images.unsplash.com/photo-1680165584859-50af16182340?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw2fHxGb3JiaWRkZW4lMjBDaXR5JTIwJUU2JTk1JTg1JUU1JUFFJUFCJTIwJUU1JThDJTk3JUU0JUJBJUFDJTIwQmVpamluZyUyMENoaW5hfGVufDF8MHx8fDE3NzM5MDg4Mzd8MA&ixlib=rb-4.1.0&q=80&w=1080,北京故宫博物院,True,1,False,False
cn25-002,天坛,北京,历史文化,天坛,https://images.unsplash.com/photo-1584872589930-e99fe5bf4408?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlQTklRTUlOUQlOUJ8ZW58MXwwfHx8MTc3Mzg0NTAzMHww&ixlib=rb-4.1.0&q=80&w=1080,"The Temple of Heaven, Beijing, China.",True,1,False,False,Temple of Heaven 天坛 北京 Beijing China,https://images.unsplash.com/photo-1584872589930-e99fe5bf4408?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHxUZW1wbGUlMjBvZiUyMEhlYXZlbiUyMCVFNSVBNCVBOSVFNSU5RCU5QiUyMCVFNSU4QyU5NyVFNCVCQSVBQyUyMEJlaWppbmclMjBDaGluYXxlbnwxfDB8fHwxNzczOTA4ODQ4fDA&ixlib=rb-4.1.0&q=80&w=1080,"The Temple of Heaven, Beijing, China.",True,1,False,False
cn25-003,颐和园,北京,历史文化,颐和园,https://images.unsplash.com/photo-1669382485231-ef86d9fa986f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg4MzM5M3ww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False,Summer Palace 颐和园 北京 Beijing China,https://images.unsplash.com/photo-1669382485231-ef86d9fa986f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHxTdW1tZXIlMjBQYWxhY2UlMjAlRTklQTIlOTAlRTUlOTIlOEMlRTUlOUIlQUQlMjAlRTUlOEMlOTclRTQlQkElQUMlMjBCZWlqaW5nJTIwQ2hpbmF8ZW58MXwwfHx8MTc3MzkwODg2MXww&ixlib=rb-4.1.0&q=80&w=1080,北京颐和园,True,1,False,False
cn25-004,八达岭长城,北京,历史文化,八达岭长城,,,False,,True,False,,,,False,,True,False
cn25-005,雍和宫,北京,历史文化,雍和宫,https://images.unsplash.com/photo-1623687020286-86a8b83634d2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTklOUIlOEQlRTUlOTIlOEMlRTUlQUUlQUJ8ZW58MXwwfHx8MTc3Mzg5MTQ2NXww&ixlib=rb-4.1.0&q=80&w=1080,gray concrete building under white sky during daytime,False,0,False,True,Lama Temple 雍和宫 北京 Beijing China,https://images.unsplash.com/photo-1584872589930-e99fe5bf4408?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHw0fHxMYW1hJTIwVGVtcGxlJTIwJUU5JTlCJThEJUU1JTkyJThDJUU1JUFFJUFCJTIwJUU1JThDJTk3JUU0JUJBJUFDJTIwQmVpamluZyUyMENoaW5hfGVufDF8MHx8fDE3NzM5MDg4ODF8MA&ixlib=rb-4.1.0&q=80&w=1080,"The Temple of Heaven, Beijing, China.",False,0,False,True
cn25-006,外滩,上海,城市风光,外滩,https://images.unsplash.com/photo-1718427778421-ad719f965738?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlOTYlRTYlQkIlQTl8ZW58MXwwfHx8MTc3Mzg0NTAzNnww&ixlib=rb-4.1.0&q=80&w=1080,a view of a large city with tall buildings,True,1,False,False,外滩 上海,https://images.unsplash.com/photo-1592311800804-1b72948c1a99?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTUlQTQlOTYlRTYlQkIlQTklMjAlRTQlQjglOEElRTYlQjUlQjd8ZW58MXwwfHx8MTc3Mzg0NTAzOXww&ixlib=rb-4.1.0&q=80&w=1080,"The Bund
外滩",True,1,False,False
cn25-007,东方明珠,上海,城市风光,东方明珠,https://images.unsplash.com/photo-1508742066636-3b9fb738ee0e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQjglOUMlRTYlOTYlQjklRTYlOTglOEUlRTclOEYlQTB8ZW58MXwwfHx8MTc3Mzg4MzQxOHww&ixlib=rb-4.1.0&q=80&w=1080,body of water beside city,True,1,False,False,东方明珠 上海,,,False,,True,False
cn25-008,豫园,上海,历史文化,豫园,https://images.unsplash.com/photo-1689073248049-8ecdc5431529?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTglQjElQUIlRTUlOUIlQUR8ZW58MXwwfHx8MTc3Mzg5MTUzMHww&ixlib=rb-4.1.0&q=80&w=1080,SHANGHAI’S beauty,True,1,False,False,豫园 上海,https://images.unsplash.com/photo-1675906486790-deb3ef803efb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTglQjElQUIlRTUlOUIlQUQlMjAlRTQlQjglOEElRTYlQjUlQjd8ZW58MXwwfHx8MTc3MzkwODkxOHww&ixlib=rb-4.1.0&q=80&w=1080,,True,1,False,False
cn25-009,上海迪士尼乐园,上海,休闲,上海迪士尼乐园,,,False,,True,False,,,,False,,True,False
cn25-010,上海博物馆,上海,历史文化,上海博物馆,https://images.unsplash.com/photo-1707236371143-8673c917107a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NTgxMzd8MHwxfHNlYXJjaHwxfHwlRTQlQjglOEElRTYlQjUlQjclRTUlOEQlOUElRTclODklQTklRTklQTYlODZ8ZW58MXwwfHx8MTc3MzkwNjc3Mnww&ixlib=rb-4.1.0&q=80&w=1080,Chinese tradition opera musical instruments,True,1,False,False,museum 上海博物馆 上海 Shanghai China,,,False,,True,False
